 Real time ; 0.15 sec. ;27.15 ticks
 Real time ; 0.10 sec. ;27.15 ticks
 Real time ; 0.07 sec. ;27.15 ticks
 Real time ; 0.07 sec. ;27.15 ticks
 Real time ; 0.08 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.07 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.07 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.07 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.16 sec. ;27.15 ticks
 Real time ; 0.09 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.10 sec. ;27.15 ticks
 Real time ; 0.13 sec. ;27.15 ticks
 Real time ; 0.14 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.07 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.07 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.08 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.07 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
 Real time ; 0.06 sec. ;27.15 ticks
